Dates,TOTAL,ENG - Worship Experience,Miércoles: Noche de Adoración,ENG-Kids Ministry,ENG - Vida Steps
2020-06-28,48,0,0,0,0
2020-07-05,54,0,0,0,0
2020-07-12,69,0,0,0,0
2020-07-19,70,0,0,0,0
2020-07-26,59,0,0,0,0
2020-08-02,62,0,0,0,0
2020-08-09,71,0,0,0,0
2020-08-16,59,0,0,0,0
2020-08-23,74,0,0,0,0
2020-08-30,56,0,0,0,0
2020-09-06,51,0,0,0,0
2020-09-13,85,0,0,0,0
2020-09-20,69,0,0,0,0
2020-09-27,64,0,0,0,0
2020-10-04,65,0,0,0,0
2020-10-11,74,0,0,0,0
2020-10-18,77,0,0,0,0
2020-10-25,86,0,0,0,0
2020-11-01,95,0,0,0,0
2020-11-08,76,0,65,0,0
2020-11-15,61,0,0,0,0
2020-11-22,94,0,0,0,0
2020-11-29,76,0,0,0,0
2020-12-06,84,0,61,0,0
2020-12-13,110,0,0,0,0
2020-12-20,96,0,0,0,0
2020-12-27,65,0,0,0,0
2021-01-03,87,0,0,0,0
2021-01-10,72,0,0,0,0
2021-01-17,72,32,0,0,0
2021-01-24,55,4,0,0,0
2021-01-31,69,0,0,0,1
2021-02-07,83,0,0,0,1
2021-02-14,88,0,0,0,0
2021-02-21,80,0,0,0,0
2021-02-28,81,7,0,0,0
2021-03-07,80,0,0,0,0
2021-03-14,85,0,0,0,0
2021-03-21,69,23,0,0,0
2021-03-28,81,0,0,0,0
2021-04-04,81,7,0,0,0
2021-04-11,70,19,0,0,0
2021-04-18,86,0,0,0,0